/File/Main/FileName;/Exif/Image/ImageWidth;/Exif/Image/ImageLength;/Exif/Image/Make;/Exif/Image/Model;/Exif/Image/Orientation;/Exif/Image/XResolution;/Exif/Image/YResolution;/Exif/Image/ResolutionUnit;/Exif/Image/Software;/Exif/Image/DateTime;/Exif/Image/YCbCrPositioning;/Exif/Photo/ExposureTime;/Exif/Photo/FNumber;/Exif/Photo/ExposureProgram;/Exif/Photo/ISOSpeedRatings;/Exif/Photo/ExifVersion;/Exif/Photo/DateTimeOriginal;/Exif/Photo/DateTimeDigitized;/Exif/Photo/OffsetTime;/Exif/Photo/OffsetTimeOriginal;/Exif/Photo/ShutterSpeed;/Exif/Photo/Aperture;/Exif/Photo/Brightness;/Exif/Photo/ExposureBias;/Exif/Photo/MaxAperture;/Exif/Photo/MeteringMode;/Exif/Photo/Flash;/Exif/Photo/FocalLength;/Exif/Photo/ColorSpace;/Exif/Photo/PixelXDimension;/Exif/Photo/PixelYDimension;/Exif/Photo/ExposureMode;/Exif/Photo/WhiteBalance;/Exif/Photo/DigitalZoomRatio;/Exif/Photo/FocalLengthIn35mmFilm;/Exif/Photo/SceneCaptureType;/Exif/Photo/ImageUniqueID;/Exif/Thumbnail/ImageWidth;/Exif/Thumbnail/ImageLength;/Exif/Thumbnail/Compression;/Exif/Thumbnail/XResolution;/Exif/Thumbnail/YResolution;/Exif/Thumbnail/ResolutionUnit;OriginalImage
20240103_182005.jpg;8000;6000;samsung;SM-A805F;6;72;72;2;A805FXXU7DWF5;03/01/2024 18:20:04;1;0.0166666667;2;2;160;0220;03/01/2024 18:20:04;03/01/2024 18:20:04;-03:00;-03:00;1/1 s;2;0/1;0/1;2;2;0;4.58;1;8000;6000;0;0;1;25;0;A48QSLA01PM;512;384;6;72;72;2;0.0
20240103_182036.jpg;8000;6000;samsung;SM-A805F;6;72;72;2;A805FXXU7DWF5;03/01/2024 18:20:35;1;0.0166666667;2;2;160;0220;03/01/2024 18:20:35;03/01/2024 18:20:35;-03:00;-03:00;1/1 s;2;0/1;0/1;2;2;0;4.58;1;8000;6000;0;0;1;25;0;A48QSLA01PM;512;384;6;72;72;2;0.0
20240103_182122.jpg;8000;6000;samsung;SM-A805F;6;72;72;2;A805FXXU7DWF5;03/01/2024 18:21:21;1;0.0166666667;2;2;250;0220;03/01/2024 18:21:21;03/01/2024 18:21:21;-03:00;-03:00;1/1 s;2;0/1;0/1;2;2;0;4.58;1;8000;6000;0;0;1;25;0;A48QSLA01PM;512;384;6;72;72;2;0.0
20240103_182202.jpg;8000;6000;samsung;SM-A805F;6;72;72;2;A805FXXU7DWF5;03/01/2024 18:22:01;1;0.0166666667;2;2;160;0220;03/01/2024 18:22:01;03/01/2024 18:22:01;-03:00;-03:00;1/1 s;2;0/1;0/1;2;2;0;4.58;1;8000;6000;0;0;1;25;0;A48QSLA01PM;512;384;6;72;72;2;0.0
20240103_182354.jpg;8000;6000;samsung;SM-A805F;6;72;72;2;A805FXXU7DWF5;03/01/2024 18:23:52;1;0.0166666667;2;2;125;0220;03/01/2024 18:23:52;03/01/2024 18:23:52;-03:00;-03:00;1/1 s;2;0/1;0/1;2;2;0;4.58;1;8000;6000;0;0;1;25;0;A48QSLA01PM;512;384;6;72;72;2;0.0
20240103_182426.jpg;8000;6000;samsung;SM-A805F;1;72;72;2;A805FXXU7DWF5;03/01/2024 18:24:25;1;0.0166666667;2;2;100;0220;03/01/2024 18:24:25;03/01/2024 18:24:25;-03:00;-03:00;1/1 s;2;0/1;0/1;2;2;0;4.58;1;8000;6000;0;0;1;25;0;A48QSLA01PM;512;384;6;72;72;2;0.0
20240103_200353.jpg;8000;6000;samsung;SM-A805F;6;72;72;2;A805FXXU7DWF5;03/01/2024 20:03:51;1;0.0166666667;2;2;125;0220;03/01/2024 20:03:51;03/01/2024 20:03:51;-03:00;-03:00;1/1 s;2;0/1;0/1;2;2;0;4.58;1;8000;6000;0;0;1;25;0;A48QSLA01PM;512;384;6;72;72;2;0.0
20240103_200419.jpg;8000;6000;samsung;SM-A805F;6;72;72;2;A805FXXU7DWF5;03/01/2024 20:04:18;1;0.0166666667;2;2;125;0220;03/01/2024 20:04:18;03/01/2024 20:04:18;-03:00;-03:00;1/1 s;2;0/1;0/1;2;2;0;4.58;1;8000;6000;0;0;1;25;0;A48QSLA01PM;512;384;6;72;72;2;0.0
20240103_200435.jpg;8000;6000;samsung;SM-A805F;6;72;72;2;A805FXXU7DWF5;03/01/2024 20:04:34;1;0.0166666667;2;2;160;0220;03/01/2024 20:04:34;03/01/2024 20:04:34;-03:00;-03:00;1/1 s;2;0/1;0/1;2;2;0;4.58;1;8000;6000;0;0;1;25;0;A48QSLA01PM;512;384;6;72;72;2;0.0
20240103_200450.jpg;8000;6000;samsung;SM-A805F;6;72;72;2;A805FXXU7DWF5;03/01/2024 20:04:49;1;0.0166666667;2;2;160;0220;03/01/2024 20:04:49;03/01/2024 20:04:49;-03:00;-03:00;1/1 s;2;0/1;0/1;2;2;0;4.58;1;8000;6000;0;0;1;25;0;A48QSLA01PM;512;384;6;72;72;2;0.0
20240103_200515.jpg;8000;6000;samsung;SM-A805F;6;72;72;2;A805FXXU7DWF5;03/01/2024 20:05:15;1;0.0166666667;2;125;0220;03/01/2024 20:05:15;03/01/2024 20:05:15;1/60 s;2;0/1;2;0;4.58;1;8000;6000;0;25;A48QSLA01PM A48QSLA01PM;512;384;6;72;72;2;<undefined>;<undefined>;<undefined>;<undefined>;<undefined>;<undefined>;<undefined>;<undefined>;0.0
20240103_200523.jpg;8000;6000;samsung;SM-A805F;6;72;72;2;A805FXXU7DWF5;03/01/2024 20:05:21;1;0.0166666667;2;2;100;0220;03/01/2024 20:05:21;03/01/2024 20:05:21;-03:00;-03:00;1/1 s;2;0/1;0/1;2;2;0;4.58;1;8000;6000;0;0;1;25;0;A48QSLA01PM;512;384;6;72;72;2;0.0
